timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1518028035092,66945,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028036091,68204,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028037138,96261,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028038150,93984,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028039150,82076,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028040150,55850,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028041150,54313,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028042150,22481,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028043150,21500,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028044150,28770,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028045150,72297,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028046150,90604,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028047149,72765,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028048149,74314,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028049149,86030,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028050149,69069,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028051154,77978,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028052154,84038,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028053154,86759,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028054154,73843,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028055154,34366,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028056154,67591,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028057153,29937,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028058153,42056,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028059153,56253,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028060153,65338,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028061153,36977,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028062153,57199,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028063153,47846,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028064153,34383,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028065153,32058,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028066153,29692,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028067153,31275,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028068153,30815,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028069153,26949,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028070165,35383,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028071165,33591,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028072165,30102,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028073165,29962,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028074165,29657,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028075164,12870,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028076164,18334,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028077164,23356,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028078164,27596,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028079164,27361,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028080164,29962,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028081164,29717,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028082164,20314,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028083164,23703,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028084164,29692,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028085164,31650,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028086164,23450,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028087164,15164,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028088164,18350,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028089166,60094,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028090166,58754,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028091166,43191,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028092166,61300,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028093166,64466,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028094166,60950,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028095166,70802,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028096166,72000,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028097166,19008,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028098166,18770,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028099166,28799,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028100165,89159,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028101165,85600,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028102178,71362,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028103178,50585,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028104178,57594,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028105178,87874,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028106178,52566,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028107178,66400,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028108185,78914,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028109185,73629,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028110185,65233,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028111185,71082,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028112185,62881,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028113185,65153,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028114197,46727,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028115197,68476,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028116197,87515,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028117197,81711,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028118197,42171,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028119197,53511,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028120197,40625,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028121197,38650,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028122196,58779,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028123196,56635,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028124196,21773,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028125196,4307,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028126196,2724,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028127200,14828,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028128200,8643,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028129200,33208,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028130200,33983,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028131200,19124,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028132200,11700,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028133200,28418,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028134200,29692,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028135200,37118,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028136199,33183,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028137199,6298,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028138199,15537,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028139199,29317,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1518028140199,31215,localhost CPU,,,,,true,,0,0,0,0,0,0,0
